epoch:16,step:11,loss:0.188
epoch:16,step:12,loss:0.198
epoch:16,step:13,loss:0.210
epoch:16,step:14,loss:0.183
epoch:16,step:15,loss:0.187
epoch:16,step:16,loss:0.187
epoch:16,step:17,loss:0.201
epoch:16,step:18,loss:0.213
epoch:16,step:19,loss:0.193
epoch:16,step:20,loss:0.181
epoch:16,step:21,loss:0.206
epoch:16,step:22,loss:0.227
epoch:16,step:23,loss:0.199
epoch:16,step:24,loss:0.170
epoch:16,step:25,loss:0.184
epoch:16,step:26,loss:0.177
epoch:16,step:27,loss:0.203
epoch:16,step:28,loss:0.164
epoch:16,step:29,loss:0.186
epoch:16,step:30,loss:0.178
epoch:16,step:31,loss:0.185
epoch:16,step:32,loss:0.190
epoch:16,step:33,loss:0.182
epoch:16,step:34,loss:0.177
epoch:16,step:35,loss:0.189
epoch:16,step:36,loss:0.169
epoch:16,step:37,loss:0.172
epoch:16,step:38,loss:0.192
epoch:16,step:39,loss:0.219
benchmark epoch:16,accuracy:21.800
epoch:17,step:0,loss:0.443
epoch:17,step:1,loss:0.197
epoch:17,step:2,loss:0.197
epoch:17,step:3,loss:0.215
epoch:17,step:4,loss:0.176
epoch:17,step:5,loss:0.176
epoch:17,step:6,loss:0.168
epoch:17,step:7,loss:0.166
epoch:17,step:8,loss:0.174
epoch:17,step:9,loss:0.158
epoch:17,step:10,loss:0.189
epoch:17,step:11,loss:0.197
epoch:17,step:12,loss:0.171
epoch:17,step:13,loss:0.176
epoch:17,step:14,loss:0.194
epoch:17,step:15,loss:0.173
epoch:17,step:16,loss:0.187
epoch:17,step:17,loss:0.149
epoch:17,step:18,loss:0.170
epoch:17,step:19,loss:0.182
epoch:17,step:20,loss:0.159
epoch:17,step:21,loss:0.192
epoch:17,step:22,loss:0.174
epoch:17,step:23,loss:0.167
epoch:17,step:24,loss:0.157
epoch:17,step:25,loss:0.158
epoch:17,step:26,loss:0.182
